Webpage,cluster,ID,z,bright_mag,bright_magerr,stellarity,ra,dec,zbpz,zbmin,zbmax,zb>4.5,zez,zezmin,zezmax,zez>4.5,x,y,fwhm,area,B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2248.html,plckg004-19,2248,5.57,26.23,0.055,0.95,289.2673518,-33.5336668,5.48,0.76,5.93,5.47,5.67,0.81,6.16,5.52,2648.973,1907.768,0.211,22,31.8561,3.1435,29.0639,0.6792,27.0787,0.1728,26.2245,0.1164,26.3853,0.2156,26.0717,0.1379,26.1641,0.1053
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/191.html,plckg004-19,191,5.51,26.26,0.076,0.90,289.2616232,-33.5074491,5.51,4.37,5.73,5.50,0.93,0.83,5.94,4.59,2935.612,3480.810,0.238,23,29.8188,1.3835,28.1981,0.3532,26.8153,0.1379,26.1413,0.1066,26.4321,0.2253,26.4994,0.1913,26.4713,0.1337
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1933.html,plckg004-19,1933,5.68,26.29,0.074,0.87,289.2513887,-33.5296334,5.43,4.98,5.90,5.42,5.94,5.01,6.14,5.81,3447.393,2149.684,0.194,28,29.1447,0.9578,99,29.1773,26.8776,0.1583,26.1787,0.1238,26.2483,0.2047,26.115,0.1568,26.1635,0.1115
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/782.html,plckg004-19,782,5.79,26.31,0.050,0.00,289.2556479,-33.5171142,5.64,0.85,5.91,5.63,5.95,0.93,6.14,5.87,3234.470,2900.873,0.320,30,28.1892,0.5194,29.2072,0.7753,27.0516,0.1834,26.3169,0.1368,26.6844,0.2963,26.1308,0.1564,26.7031,0.1778
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1094.html,plckg004-19,1094,5.51,26.41,0.048,0.85,289.2689505,-33.5201838,5.47,4.61,5.87,5.47,5.55,4.56,6.09,5.45,2569.027,2716.748,0.196,21,99,28.7009,29.6088,1.0017,27.0549,0.1865,26.4781,0.1341,26.2082,0.1735,26.3581,0.1623,26.5409,0.1328
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2416.html,plckg004-19,2416,6.07,26.50,0.075,0.85,289.2558925,-33.5365461,1.04,0.63,6.41,6.05,6.07,0.27,6.72,5.99,3222.071,1734.960,0.247,25,99,28.815,28.568,0.47,28.0131,0.3758,26.5015,0.1588,26.4306,0.237,26.3275,0.1833,26.354,0.1303
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/952.html,plckg004-19,952,6.02,26.60,0.082,0.76,289.2873745,-33.5187183,5.91,5.18,6.28,5.88,6.12,1.28,6.53,6.09,1647.418,2804.609,0.208,16,29.2156,0.8936,29.723,0.9582,27.7212,0.273,26.4551,0.1308,26.7275,0.2637,27.4208,0.377,27.0469,0.2025
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2543.html,plckg004-19,2543,6.18,26.61,0.055,0.81,289.2647349,-33.5397065,6.17,0.94,6.91,6.16,6.19,1.03,7.34,6.09,2779.835,1545.378,0.210,21,30.882,2.138,29.7441,0.9761,28.3243,0.4406,26.6299,0.1632,26.4787,0.2377,26.3907,0.1795,26.4921,0.1403
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1983.html,plckg004-19,1983,6.53,26.72,0.082,0.78,289.2615259,-33.5303103,6.40,5.89,6.93,6.40,6.66,5.95,7.29,6.53,2940.364,2109.139,0.220,20,28.278,0.5095,99,29.3512,28.8733,0.6454,26.5518,0.1432,26.7133,0.2563,26.7238,0.2204,26.745,0.155
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/738.html,plckg004-19,738,5.69,26.84,0.067,0.74,289.2576809,-33.5166658,5.52,0.77,5.91,5.51,5.87,0.94,6.17,5.43,3132.776,2927.788,0.220,13,28.8959,0.7127,30.9576,1.7476,27.5653,0.2229,26.9648,0.1807,27.0327,0.3019,26.6253,0.182,27.2806,0.2208
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2704.html,plckg004-19,2704,6.87,26.92,0.081,0.68,289.2721364,-33.5449546,6.68,1.05,7.39,6.68,7.05,6.37,7.90,6.96,2409.689,1230.497,0.305,21,99,28.7134,29.2814,0.8282,99,28.8933,26.912,0.2026,26.6766,0.2758,27.133,0.3207,26.7238,0.1679
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/204.html,plckg004-19,204,5.53,26.96,0.080,0.55,289.2608265,-33.5077113,5.25,0.58,5.77,5.25,5.80,0.71,6.08,5.32,2975.472,3465.079,0.311,17,28.7243,0.7026,30.1323,1.2554,27.3626,0.2167,26.7522,0.1733,27.2819,0.4217,26.8084,0.2408,26.7838,0.1709
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2268.html,plckg004-19,2268,5.56,27.00,0.082,0.21,289.2612304,-33.5342132,5.34,0.64,5.73,5.33,5.79,0.76,6.03,5.21,2955.123,1874.965,0.363,20,29.8815,1.3726,29.3751,0.7779,27.3569,0.2059,26.7915,0.1755,26.8791,0.2994,27.2313,0.3292,26.9542,0.1888
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/536.html,plckg004-19,536,5.64,27.09,0.086,0.72,289.2596320,-33.5137860,5.39,0.80,5.87,5.39,5.88,4.89,6.20,5.82,3035.193,3100.590,0.256,17,99,28.9483,99,29.3469,27.4845,0.2221,26.8712,0.1797,27.0705,0.3234,27.2578,0.3241,26.9435,0.1733
